id ,code,name
1,0301-Q01,皮帶輸送機
2,0301-Q03A/B,廢棄物進料器
3,0404-E01,表面冷凝器E01
4,0401-B01,廢熱回收鍋爐
5,0402-P01A～C,冷卻水泵A～C
6,0302-I01,流體化床式焚化爐
7,0301-Q04,散佈器
8,0301-C01,燃燒空氣送風機
9,0404-T04,冷凝水槽
10,0404-E02,冷凝水冷卻器E02
11,0404-T03,閃化槽
12,0809-X02,垃圾傾卸平台
13,0404-P01A,鍋爐給水泵A台
14,0404-P01B,鍋爐給水泵B台
15,0403-P11A,鍋爐補充水泵A台
16,0403-P11B,鍋爐補充水泵B台
17,0201-U01,一期污泥泵油壓設備
18,1001-U01,二期污泥泵油壓設備U01
19,1001-U02,二期污泥泵油壓設備U02
20,0503-C01,誘引抽風機
21,1101,廠區
22,0202-T01~09,廢溶劑貯槽T01~T09
23,902,柴油發電機室
24,0501-Q01,消石灰進料器
25,0501-Q02,活性碳進料器
26,906,低壓配電室
27,905,高壓配電室
28,102,一期暫存廠
29,0808-P01A/B,/消防泵A/B
30,808,消防系統
31,0302-T01,砂貯倉
32,0504-J01A,尿素噴嘴 A
33,0504-J02B,尿素噴嘴 B
34,0201-N01,廢棄物破碎機
35,0201-N02,粉碎機
36,0402-E001,冷卻水主管
37,0402-P01A,冷卻水泵A
38,0402-P01B,冷卻水泵B
39,0402-P01C,冷卻水泵C
40,0402-T01,冷卻水池
41,0303-C02A/B,起爐燃燒器送風機A/B
42,0202-P04A,廢溶劑輸送泵P04A
43,0202-P04B,廢溶劑輸送泵P04B
44,0502-V05A,袋濾式集塵器集灰漏斗雙轉板閥A
45,0502-V05B,袋濾式集塵器集灰漏斗雙轉板閥B
46,0502-V05C,袋濾式集塵器集灰漏斗雙轉板閥C
47,0502-S01_A~C,袋濾式集塵器A/B/C區室水柱差壓
48,0601-Q02,鍋爐鏈條式輸送機
49,0501-V05,噴霧冷卻塔
50,0601-Q03,袋濾式集塵器鏈條式輸送機
51,0306-J02C1,廢溶劑進料噴嘴C1
52,0404-T01,鍋爐給水槽
53,0504-T01,尿素貯槽
54,0504-P02A,尿素供應泵A台
55,0504-P02B,尿素供應泵B台
56, 0803-X01,廢棄物滲出液貯坑
57,0501-P01A,噴霧冷卻塔用水泵A台
58,0501-P02B,噴霧冷卻塔用水泵B台
59,0502-C02A,共同噴入鼓風機A台
60,0502-C02B,共同噴入鼓風機B台
61,0601-Q05,共同鏈條式輸送機
